# BEAST v1.10.2
# Generated Sat Dec 15 18:30:16 GMT+01:00 2018 [seed=1544895014918]
# CHIKVSTSKYGRID50ML.xml
# keywords: skygrid
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	CP1+2.gtr.rates.rateAC	CP1+2.gtr.rates.rateAG	CP1+2.gtr.rates.rateAT	CP1+2.gtr.rates.rateCG	CP1+2.gtr.rates.rateCT	CP1+2.gtr.rates.rateGT	CP3.gtr.rates.rateAC	CP3.gtr.rates.rateAG	CP3.gtr.rates.rateAT	CP3.gtr.rates.rateCG	CP3.gtr.rates.rateCT	CP3.gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-276368.0481489978	-5807.006895877376	-270561.04125312046	473.7903774848203	1544.3411293644947	2232.65173826094	286.05069388438665	1732.0808129649283	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.7499332443257677	1.5002670940170941	1.0	1.0	-270561.04125312046	0.0	-3562.276284865389
5000	-18225.92627924864	-332.96175070814274	-17892.9645285405	16.19916595724863	2001.9323408920663	83.54701732111972	4.032304329804812	2014.09920251951	0.07660471424663157	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9811194911216259	1.0180419568742516	0.9892464223873686	1.015255136147118	1.010681160265275	0.985655833204362	0.9928617508290623	0.9929262929168117	1.0035482617849325	0.969734213803628	1.032345758911148	1.0085837217544174	0.2945306047430416	0.24752752463541006	0.25554009822174606	0.20240177239980234	0.044257659492321716	0.09038748431816478	0.2452943752215522	0.7547056247784477	0.3679088132495217	2.2645200290494345	5.472266480799337E-4	5.472266480799336E-4	-17892.9645285405	0.0	-324.9466928517094
10000	-17938.181058344417	-334.58463397761824	-17603.5964243668	6.708177330217878	2011.423329519097	82.58979568141925	4.502323216728868	2013.629183632586	0.1671701612707506	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9548758926909888	1.0294281355232853	1.01247161483321	1.0142536131440865	0.9988004250097049	0.9901703187987259	0.9406428016547064	1.0521010233476336	1.0245903322315555	0.9452498745998456	1.0572281245800517	0.9801878435862067	0.2814564299734997	0.2502729085423247	0.2622491150879319	0.2060215463962438	0.017399763908773947	0.05135205333587348	0.4035667925547302	0.5964332074452698	0.6052963080854258	1.7896182298184193	2.220043403327681E-4	2.2200434033276814E-4	-17603.5964243668	0.0	-326.39440417384054
15000	-17905.757410936876	-333.2219778343191	-17572.535433102556	7.064070674721752	2011.0674361745932	87.16144512636181	4.134733523706515	2013.9967733256085	0.1468877314883717	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9375747609135435	1.0762386165425464	0.991361467977178	1.0356982363777159	0.9904902255649223	0.9686366926240952	0.9217239220792693	1.0531150258746274	1.0291863360639717	0.9306241839052317	1.0704471027300217	0.9949034293468777	0.29050369838964757	0.2516391708714744	0.25340536949444414	0.20445176124443398	0.017060023118558008	0.06449258346494986	0.46871349372023813	0.5312865062797624	0.703007662009767	1.5941433257336675	2.4419987009785413E-4	2.44199870097854E-4	-17572.535433102556	0.0	-325.11172445955816
20000	-17854.047949211294	-334.6919192774951	-17519.3560299338	6.459175014567227	2011.6723318347476	85.08809277640107	4.2004354092526395	2013.9310714400624	0.15740375459254002	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9280871485280134	1.0645245759173394	0.9757454174468914	1.0869964209591385	1.0046255706574392	0.9400208664911796	0.9532938283380161	1.0286193348404973	1.0060119795200035	0.8961511192494999	1.1069131004880286	1.0090106375639543	0.28918386241102323	0.25309323879565615	0.2540397709041046	0.20368312788921605	0.018190021991047235	0.1754421744950559	0.46183195360760104	0.5381680463923992	0.6926862706045114	1.614791622107963	2.60906515616753E-4	2.6090651561675306E-4	-17519.3560299338	0.0	-326.2423794421924
25000	-17869.397348697294	-352.1673875376053	-17517.22996115969	7.202969868555821	2010.9285369807592	98.97341919625764	4.562777014166179	2013.5687298351488	0.1936415685266719	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9375931262320015	1.080951256433467	0.9818628540594357	1.076322168973746	0.975758520705977	0.9475120735953746	0.9581876951217769	1.0583690620063577	1.0123420328550268	0.870394864350615	1.0883702880678667	1.0123360575983569	0.2825831529047239	0.2545267688551251	0.26242877775861256	0.2004613004815384	0.014076905963675838	0.08045534713064217	0.5296055526351401	0.4703944473648598	0.7943376206012235	1.4114346211797104	2.0890922453863187E-4	2.0890922453863184E-4	-17517.22996115969	0.0	-343.8972607257096
30000	-17853.768796205124	-340.69316392389396	-17513.07563228123	7.398895198879741	2010.7326116504353	107.0099856356775	5.269743024657203	2012.8617638246578	0.15116736616747087	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9254137577995788	1.0854332575056462	0.9828137472342273	1.0642303808851592	1.0119670542470234	0.9301418023283674	0.9333869955860397	1.0543053242921538	1.023515713874142	0.8646662369996969	1.1096626146988053	1.014463114549162	0.2832133147891415	0.24578871641194386	0.25636368937413645	0.21463427942477817	0.007797463054795903	0.3963323584586201	0.5155220338987585	0.4844779661012414	0.7732142228062288	1.4536927006360434	1.711486065574753E-4	1.7114860655747526E-4	-17513.07563228123	0.0	-332.1923391527921
35000	-17854.247244049096	-347.2102628160457	-17507.03698123305	6.944498174720065	2011.1870086745948	116.01934149126119	5.261728908550804	2012.8697779407642	0.1499434936404902	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9366752499876728	1.0459145786639321	0.9783787223964187	1.0778307185731104	1.036023034295478	0.9251776960833897	0.9494505077698772	1.0309994960364317	1.000048677182849	0.8723077693044958	1.1262953207309079	1.020898228975438	0.295408102780934	0.252971083319773	0.2508672846254015	0.2007535292738914	0.028972452851989815	0.1123448220136267	0.506622041038741	0.4933779589612588	0.7598654217662505	1.4803974334857857	1.7290495761515155E-4	1.7290495761515152E-4	-17507.03698123305	0.0	-339.2767520768416
40000	-17863.44628195469	-346.6084318544734	-17516.837850100215	7.103294747590711	2011.0282121017242	104.21990098854131	4.752909324241343	2013.3785975250737	0.17038807094744793	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.9587863924687587	1.0611664592618042	0.9627393699293761	1.0604946914080218	1.03793290819108	0.9188801787409596	0.9836543178512301	1.0093375342726447	0.9941944744319238	0.8478776979392924	1.1304830777444277	1.0344528977604803	0.2943002318021967	0.24846941715308304	0.25544401069168954	0.2017863403530306	0.046893001258698795	0.1341017218594249	0.4873340908022792	0.5126659091977206	0.730936071571803	1.5382715875873914	1.9330944382997677E-4	1.9330944382997672E-4	-17516.837850100215	0.0	-338.35836513579943
45000	-17860.215104372957	-346.9127690865772	-17513.30233528638	7.21358140680467	2010.9179254425103	106.60499574923233	4.914568338391271	2013.2169385109237	0.09380909729799555	2.4874146388514804	5.817785729360474	11.62826596064828	6.870979672820994	5.325230468500439	3.52197314107531	4.040109193639203	4.62082354752636	5.448208368266611	4.544299908521957	4.434414056682389	4.958235533845935	3.723117288866606	5.90208241643217	6.992943048305288	3.9656384579169464	4.9334242286812815	4.827717135594322	7.025651505981123	7.416244926900441	7.611723866369738	7.409368182686743	5.588719896720332	3.8291848886988284	5.577321741494265	10.271485676165655	7.9692246164682725	6.640540827540147	3.3147386639651093	7.3812626070283756	3.0961772559586667	4.704011263158588	3.6411147025029873	5.361694728480876	4.7980259219130055	2.6414174829916144	8.692753333175775	8.44634735087102	12.429871407260006	9.353975181832322	10.17371888655275	7.601640180834959	6.526810781425564	2.886348003382389	7.7588937850983015	3.245620918138349	6.317992992176836	5.67335316657654	4.760725210998636	5.407080958804802	20.0	0.971617295849473	1.0785245952500662	0.9722627258524774	1.0540337531495818	1.0319772747553024	0.8915843551430994	0.957918783912232	1.0266304115341962	0.9830338515273501	0.8444210136512165	1.148475201565437	1.039520737809567	0.2865353510896382	0.24857402715199384	0.25424369901955834	0.2106469227388095	0.12676524025853392	0.14709686818284468	0.4711326713821923	0.5288673286178068	0.7066361055150264	1.5868845004520413	1.8174104459911877E-4	1.8174104459911877E-4	-17513.30233528638	0.0	-339.1162046528299
